id,RAJ2000,DEJ2000,release,brickid,objid,type,pstar,gmmcomp,zphot,e_zphot,fclean,fqual,label
8001597849003855.0,226.012009506164,53.853913204351,8001.0,597849.0,3855.0,REX,0.06800000369548798,R7,0.48399999737739563,0.2160000056028366,1.0,1.0,Low Surface Brightness Galaxy
8000390041003967.0,226.412348861372,10.293410907155,8000.0,390041.0,3967.0,PSF,0.0010000000474974513,P7,2.569999933242798,0.6480000019073486,1.0,1.0,Low Surface Brightness Galaxy
8000487651000246.0,226.693712070987,28.136654066894,8000.0,487651.0,246.0,PSF,0.0010000000474974513,P5,0.9129999876022339,0.503000020980835,1.0,0.0,Low Surface Brightness Galaxy
8000434719000182.0,226.960378869255,18.149430919963,8000.0,434719.0,182.0,PSF,0.017000000923871994,P1,0.949999988079071,0.2370000034570694,0.0,0.0,Low Surface Brightness Galaxy
8001645794000368.0,226.975154082561,71.902090199286,8001.0,645794.0,368.0,REX,0.0010000000474974513,R7,0.949999988079071,0.19200000166893005,1.0,1.0,Low Surface Brightness Galaxy
8000387207003502.0,227.459792374123,9.802785222388,8000.0,387207.0,3502.0,PSF,0.003000000026077032,P8,0.3659999966621399,0.6159999966621399,1.0,0.0,Low Surface Brightness Galaxy
8000321199005165.0,227.917911154522,-1.644728894059,8000.0,321199.0,5165.0,REX,0.4099999964237213,R3,0.2709999978542328,0.0989999994635582,1.0,1.0,Low Surface Brightness Galaxy
8000352875000802.0,228.175997142696,3.661627445702,8000.0,352875.0,802.0,PSF,0.9309999942779541,P4,3.444999933242798,0.6380000114440918,1.0,0.0,Low Surface Brightness Galaxy
8001561889002611.0,228.252822215872,44.317616729376,8001.0,561889.0,2611.0,REX,0.0020000000949949026,R7,0.8140000104904175,0.20800000429153442,1.0,1.0,Low Surface Brightness Galaxy
8001511233000577.0,228.269256767106,32.912762984326,8001.0,511233.0,577.0,DEV,0.0020000000949949026,D0,0.8199999928474426,0.050999999046325684,0.0,0.0,Low Surface Brightness Galaxy
8001638413002053.0,228.350354521866,68.269671504229,8001.0,638413.0,2053.0,PSF,0.9990000128746033,P2,0.9800000190734863,1.2869999408721924,1.0,0.0,Low Surface Brightness Galaxy
8000416770000576.0,229.300787149353,14.907547850358,8000.0,416770.0,576.0,REX,0.0020000000949949026,R2,1.225000023841858,0.289000004529953,1.0,1.0,Low Surface Brightness Galaxy
8000309689000061.0,229.311352021324,-3.857798017235,8000.0,309689.0,61.0,PSF,0.012000000104308128,P4,3.0460000038146973,0.30399999022483826,0.0,0.0,Low Surface Brightness Galaxy
8000329846000183.0,229.746425506504,-0.364433195743,8000.0,329846.0,183.0,EXP,0.00800000037997961,E3,0.367000013589859,0.04399999976158142,1.0,1.0,Low Surface Brightness Galaxy
8001659444001267.0,229.771796280968,82.718771063594,8001.0,659444.0,1267.0,REX,0.006000000052154064,R4,0.9850000143051147,0.10999999940395355,1.0,1.0,Low Surface Brightness Galaxy
8000440773003367.0,23.277491829639,19.552828096832,8000.0,440773.0,3367.0,REX,0.006000000052154064,R4,0.4230000078678131,0.14000000059604645,1.0,1.0,Low Surface Brightness Galaxy
8000378677002788.0,230.082326868013,8.27595783917,8000.0,378677.0,2788.0,REX,0.14499999582767487,R3,0.2160000056028366,0.09200000017881393,1.0,1.0,Low Surface Brightness Galaxy
8000473523001698.0,232.771419888517,25.471551354685,8000.0,473523.0,1698.0,REX,0.03099999949336052,R4,0.8460000157356262,0.08399999886751175,1.0,1.0,Low Surface Brightness Galaxy
8000482574001587.0,234.435995787142,27.203688453001,8000.0,482574.0,1587.0,PSF,0.0010000000474974513,P1,0.7730000019073486,0.25099998712539673,1.0,1.0,Low Surface Brightness Galaxy
8000348587002628.0,234.793806364891,2.994675952061,8000.0,348587.0,2628.0,PSF,0.9520000219345093,P4,1.4229999780654907,0.8429999947547913,1.0,0.0,Low Surface Brightness Galaxy
8001605351001405.0,235.060632112564,55.985477396167,8001.0,605351.0,1405.0,REX,0.28700000047683716,R3,0.3440000116825104,0.0949999988079071,1.0,1.0,Low Surface Brightness Galaxy
8000425119001345.0,235.463356814103,16.439665393823,8000.0,425119.0,1345.0,PSF,0.017999999225139618,P5,1.847000002861023,0.5379999876022339,1.0,1.0,Low Surface Brightness Galaxy
8000465677004644.0,235.767052845587,24.099072267962,8000.0,465677.0,4644.0,PSF,0.11400000005960464,P2,0.4189999997615814,0.19300000369548798,1.0,1.0,Low Surface Brightness Galaxy
8000355783001395.0,236.131774321224,4.199894975313,8000.0,355783.0,1395.0,REX,0.0010000000474974513,R8,1.0779999494552612,0.07900000363588333,1.0,1.0,Low Surface Brightness Galaxy
